date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:56:05	402/402	------	404	error ('Not%20Found')	text/html	date:Tue,%2027%20Dec%202005%2020:54:17%20GMT	https://desarrollos2.siu.edu.ar/robots.txt		(from )
17:56:05	5794/5794	------	200	untouched ('OK')	text/html	date:Tue,%2027%20Dec%202005%2020:54:17%20GMT	https://desarrollos2.siu.edu.ar/trac/toba/wiki	/usr/local/proyectos/toba_trunk/www/doc/wiki/trac/toba/wiki.html	(from )
17:56:05	8613/8613	------	200	untouched ('OK')	text/html	date:Tue,%2027%20Dec%202005%2020:54:18%20GMT	https://desarrollos2.siu.edu.ar/trac/toba/wiki/TracGuide	/usr/local/proyectos/toba_trunk/www/doc/wiki/trac/toba/wiki/TracGuide.html	(from https://desarrollos2.siu.edu.ar/trac/toba/wiki)
17:56:05	10676/10676	------	200	untouched ('OK')	text/css	date:Mon,%205%20Sep%202005%2013:21:21%20GMT	https://desarrollos2.siu.edu.ar/trac/toba/chrome/common/css/trac.css	/usr/local/proyectos/toba_trunk/www/doc/wiki/trac/toba/chrome/common/css/trac.css	(from https://desarrollos2.siu.edu.ar/trac/toba/wiki)
17:56:05	1766/1766	------	200	untouched ('OK')	text/css	date:Fri,%2021%20Oct%202005%2013:34:21%20GMT	https://desarrollos2.siu.edu.ar/trac/toba/chrome/common/css/wiki.css	/usr/local/proyectos/toba_trunk/www/doc/wiki/trac/toba/chrome/common/css/wiki.css	(from https://desarrollos2.siu.edu.ar/trac/toba/wiki)
17:56:05	3941/3941	------	200	untouched ('OK')	application/x-javascript	date:Sun,%2017%20Apr%202005%2010:55:35%20GMT	https://desarrollos2.siu.edu.ar/trac/toba/chrome/common/js/trac.js	/usr/local/proyectos/toba_trunk/www/doc/wiki/trac/toba/chrome/common/js/trac.js	(from https://desarrollos2.siu.edu.ar/trac/toba/wiki)
17:56:05	5385/5385	------	200	untouched ('OK')	image/gif	date:Thu,%2022%20Dec%202005%2014:53:10%20GMT	https://desarrollos2.siu.edu.ar/trac/toba/chrome/site/logo_toba_siu.gif	/usr/local/proyectos/toba_trunk/www/doc/wiki/trac/toba/chrome/site/logo_toba_siu.gif	(from https://desarrollos2.siu.edu.ar/trac/toba/wiki)
17:56:05	19233/19233	------	200	untouched ('OK')	text/html	date:Tue,%2027%20Dec%202005%2020:54:18%20GMT	https://desarrollos2.siu.edu.ar/trac/toba/wiki/TitleIndex	/usr/local/proyectos/toba_trunk/www/doc/wiki/trac/toba/wiki/TitleIndex.html	(from https://desarrollos2.siu.edu.ar/trac/toba/wiki)
17:56:05	20545/20545	------	200	untouched ('OK')	text/html	date:Tue,%2027%20Dec%202005%2020:54:19%20GMT	https://desarrollos2.siu.edu.ar/trac/toba/wiki/RecentChanges	/usr/local/proyectos/toba_trunk/www/doc/wiki/trac/toba/wiki/RecentChanges.html	(from https://desarrollos2.siu.edu.ar/trac/toba/wiki)
17:56:05	20360/20360	------	200	untouched ('OK')	text/html	date:Tue,%2027%20Dec%202005%2020:54:19%20GMT	https://desarrollos2.siu.edu.ar/trac/toba/wiki/MesaDeEntradas	/usr/local/proyectos/toba_trunk/www/doc/wiki/trac/toba/wiki/MesaDeEntradas.html	(from https://desarrollos2.siu.edu.ar/trac/toba/wiki)
17:56:05	5067/5067	------	200	untouched ('OK')	text/html	date:Tue,%2027%20Dec%202005%2020:54:19%20GMT	https://desarrollos2.siu.edu.ar/trac/toba/wiki/Introduccion	/usr/local/proyectos/toba_trunk/www/doc/wiki/trac/toba/wiki/Introduccion.html	(from https://desarrollos2.siu.edu.ar/trac/toba/wiki)
17:56:05	5135/5135	------	200	untouched ('OK')	text/html	date:Tue,%2027%20Dec%202005%2020:54:19%20GMT	https://desarrollos2.siu.edu.ar/trac/toba/wiki/Guia	/usr/local/proyectos/toba_trunk/www/doc/wiki/trac/toba/wiki/Guia.html	(from https://desarrollos2.siu.edu.ar/trac/toba/wiki)
17:56:05	6720/6720	------	200	untouched ('OK')	text/html	date:Tue,%2027%20Dec%202005%2020:54:20%20GMT	https://desarrollos2.siu.edu.ar/trac/toba/wiki/Tecnologia	/usr/local/proyectos/toba_trunk/www/doc/wiki/trac/toba/wiki/Tecnologia.html	(from https://desarrollos2.siu.edu.ar/trac/toba/wiki)
17:56:05	5492/5492	------	200	untouched ('OK')	text/html	date:Tue,%2027%20Dec%202005%2020:54:20%20GMT	https://desarrollos2.siu.edu.ar/trac/toba/wiki/Proyectos	/usr/local/proyectos/toba_trunk/www/doc/wiki/trac/toba/wiki/Proyectos.html	(from https://desarrollos2.siu.edu.ar/trac/toba/wiki)
17:56:05	5433/5433	------	200	untouched ('OK')	text/html	date:Tue,%2027%20Dec%202005%2020:54:20%20GMT	https://desarrollos2.siu.edu.ar/trac/toba/wiki/Instalacion	/usr/local/proyectos/toba_trunk/www/doc/wiki/trac/toba/wiki/Instalacion.html	(from https://desarrollos2.siu.edu.ar/trac/toba/wiki)
17:56:05	8033/8033	------	200	untouched ('OK')	text/html	date:Tue,%2027%20Dec%202005%2020:54:20%20GMT	https://desarrollos2.siu.edu.ar/trac/toba/wiki/Referencia	/usr/local/proyectos/toba_trunk/www/doc/wiki/trac/toba/wiki/Referencia.html	(from https://desarrollos2.siu.edu.ar/trac/toba/wiki)
17:56:05	3925/3925	------	200	untouched ('OK')	text/html	date:Tue,%2027%20Dec%202005%2020:54:21%20GMT	https://desarrollos2.siu.edu.ar/trac/toba/wiki/Tutorial	/usr/local/proyectos/toba_trunk/www/doc/wiki/trac/toba/wiki/Tutorial.html	(from https://desarrollos2.siu.edu.ar/trac/toba/wiki)
17:56:05	15888/15888	------	200	untouched ('OK')	text/html	date:Tue,%2027%20Dec%202005%2020:54:21%20GMT	https://desarrollos2.siu.edu.ar/trac/toba/wiki/Metodologia	/usr/local/proyectos/toba_trunk/www/doc/wiki/trac/toba/wiki/Metodologia.html	(from https://desarrollos2.siu.edu.ar/trac/toba/wiki)
17:56:05	3981/3981	------	200	untouched ('OK')	text/html	date:Tue,%2027%20Dec%202005%2020:54:21%20GMT	https://desarrollos2.siu.edu.ar/trac/toba/wiki/Versiones	/usr/local/proyectos/toba_trunk/www/doc/wiki/trac/toba/wiki/Versiones.html	(from https://desarrollos2.siu.edu.ar/trac/toba/wiki)
17:56:05	7225/7225	------	200	untouched ('OK')	text/html	date:Tue,%2027%20Dec%202005%2020:54:21%20GMT	https://desarrollos2.siu.edu.ar/trac/toba/wiki/Desarrollo	/usr/local/proyectos/toba_trunk/www/doc/wiki/trac/toba/wiki/Desarrollo.html	(from https://desarrollos2.siu.edu.ar/trac/toba/wiki)
17:56:05	6696/6696	------	200	untouched ('OK')	text/html	date:Tue,%2027%20Dec%202005%2020:54:21%20GMT	https://desarrollos2.siu.edu.ar/trac/toba/wiki/Biblioteca	/usr/local/proyectos/toba_trunk/www/doc/wiki/trac/toba/wiki/Biblioteca.html	(from https://desarrollos2.siu.edu.ar/trac/toba/wiki)
